"wikipedia_page","website"
"https://en.wikipedia.org/wiki/Jim_Carrey","http://jimcarrey.com"
"http://en.wikipedia.org/wiki/Mixcloud","https://www.mixcloud.com/about/"
"http://en.wikipedia.org/wiki/Musixmatch","http://www.musixmatch.com/"
"http://en.wikipedia.org/wiki/Resident_Advisor","https://www.residentadvisor.net"
"http://en.wikipedia.org/wiki/Shazam_(service)","http://www.shazam.com/"
"http://en.wikipedia.org/wiki/Songkick","http://www.songkick.com/"
"http://en.wikipedia.org/wiki/Soundcloud","https://soundcloud.com"
"http://en.wikipedia.org/wiki/Spotify","https://www.spotify.com"
"http://en.wikipedia.org/wiki/WIMP_(music_streaming_service)","http://www.wimpmusic.com"
"http://en.wikipedia.org/wiki/Kobalt_Label_Services","http://www.kobaltmusic.com/page-services-label-services.php"
"http://en.wikipedia.org/wiki/Sonos","http://www.sonos.com/"
"http://en.wikipedia.org/wiki/Ableton","http://www.ableton.com"
"http://en.wikipedia.org/wiki/Last.fm","http://www.last.fm"
"http://en.wikipedia.org/wiki/Warner_music","http://www.wmg.com"
"http://en.wikipedia.org/wiki/Bmg","http://www.bmg.com"
"http://en.wikipedia.org/wiki/Universal_Music_Group","http://universalmusic.com"
"http://en.wikipedia.org/wiki/Sony_Music","http://sonymusic.com"
"http://en.wikipedia.org/wiki/ITunes","https://www.apple.com/itunes/"
"http://en.wikipedia.org/wiki/Amazon.com","http://Amazon.com"
